year,state,county_code,county_population
2019,TX,48481,41556
2019,TX,48483,5056
2019,TX,48485,132230
2019,TX,48487,12769
2019,TX,48489,21358
2019,TX,48491,590551
2019,TX,48493,51070
2019,TX,48495,8010
2019,TX,48497,69984
2019,TX,48499,45539
2019,TX,48501,8713
2019,TX,48503,18010
2019,TX,48505,14179
2019,TX,48507,11840
2020,TX,48001,57805
2020,TX,48003,18879
2020,TX,48005,86796
2020,TX,48007,23814
2020,TX,48009,8730
2020,TX,48011,1869
2020,TX,48013,51724
2020,TX,48015,29972
2020,TX,48017,6697
2020,TX,48019,23861
2020,TX,48021,91601
2020,TX,48023,3518
2020,TX,48025,32513
2020,TX,48027,369927
2020,TX,48029,2026823
2020,TX,48031,12269
2020,TX,48033,706
2020,TX,48035,18603
2020,TX,48037,93481
2020,TX,48039,380518
2020,TX,48041,232555
2020,TX,48043,9237
2020,TX,48045,1487
2020,TX,48047,6964
2020,TX,48049,37633
2020,TX,48051,18514
2020,TX,48053,49653
2020,TX,48055,43979
2020,TX,48057,21001
2020,TX,48059,14110
2020,TX,48061,424180
2020,TX,48063,13060
2020,TX,48065,5854
2020,TX,48067,29879
2020,TX,48069,7396
2020,TX,48071,45590
2020,TX,48073,52875
2020,TX,48075,7143
2020,TX,48077,10550
2020,TX,48079,2897
2020,TX,48081,3323
2020,TX,48083,8100
2020,TX,48085,1072069
2020,TX,48087,2877
2020,TX,48089,21610
2020,TX,48091,164812
2020,TX,48093,13750
2020,TX,48095,2827
2020,TX,48097,41393
2020,TX,48099,76737
2020,TX,48101,1363
2020,TX,48103,4765
2020,TX,48105,3513
2020,TX,48107,5567
2020,TX,48109,2149
2020,TX,48111,7273
2020,TX,48113,2635888
2020,TX,48115,12974
2020,TX,48117,18277
2020,TX,48119,5349
2020,TX,48121,919324
2020,TX,48123,20174
2020,TX,48125,2140
2020,TX,48127,9925
2020,TX,48129,3308
2020,TX,48131,11058
2020,TX,48133,18388
2020,TX,48135,167701
2020,TX,48137,1923
2020,TX,48139,191760
2020,TX,48141,841286
2020,TX,48143,43224
2020,TX,48145,17275
2020,TX,48147,35913
2020,TX,48149,25547
2020,TX,48151,3784
2020,TX,48153,5672
2020,TX,48155,1135
2020,TX,48157,839706
2020,TX,48159,10821
2020,TX,48161,19874
2020,TX,48163,20379
2020,TX,48165,21996
2020,TX,48167,345089
2020,TX,48169,6222
2020,TX,48171,26960
2020,TX,48173,1439
2020,TX,48175,7626
2020,TX,48177,20948
2020,TX,48179,21658
2020,TX,48181,138318
2020,TX,48183,124229
2020,TX,48185,29614
2020,TX,48187,170608
2020,TX,48189,32754
2020,TX,48191,2939
2020,TX,48193,8557
2020,TX,48195,5279
2020,TX,48197,4011
2020,TX,48199,58305
2020,TX,48201,4738253
2020,TX,48203,66386
2020,TX,48205,5443
2020,TX,48207,5754
2020,TX,48209,241365
2020,TX,48211,3777
2020,TX,48213,83792
2020,TX,48215,875200
2020,TX,48217,37006
2020,TX,48219,22921
2020,TX,48221,63527
2020,TX,48223,37170
2020,TX,48225,22835
2020,TX,48227,36540
2020,TX,48229,4906
2020,TX,48231,99807
2020,TX,48233,20677
2020,TX,48235,1564
2020,TX,48237,9056
2020,TX,48239,14854
2020,TX,48241,35375
2020,TX,48243,2220
2020,TX,48245,250127
2020,TX,48247,5184
2020,TX,48249,40452
2020,TX,48251,179575
2020,TX,48253,19875
2020,TX,48255,15562
2020,TX,48257,143198
2020,TX,48259,48523
2020,TX,48261,379
2020,TX,48263,786
2020,TX,48265,52869
2020,TX,48267,4396
2020,TX,48269,283
2020,TX,48271,3670
2020,TX,48273,30338
2020,TX,48275,3683
2020,TX,48277,49905
2020,TX,48279,12710
2020,TX,48281,21789
2020,TX,48283,7500
2020,TX,48285,20216
2020,TX,48287,17397
2020,TX,48289,17493
2020,TX,48291,91547
2020,TX,48293,23340
2020,TX,48295,3111
2020,TX,48297,12324
2020,TX,48299,21958
2020,TX,48301,181
2020,TX,48303,314772
2020,TX,48305,6025
2020,TX,48307,7823
2020,TX,48309,259730
2020,TX,48311,721
2020,TX,48313,14427
2020,TX,48315,9960
2020,TX,48317,5816
2020,TX,48319,4344
2020,TX,48321,36725
2020,TX,48323,58378
2020,TX,48325,52358
2020,TX,48327,2124
2020,TX,48329,177863
2020,TX,48331,24708
2020,TX,48333,4840
2020,TX,48335,8202
2020,TX,48337,19962
2020,TX,48339,626351
2020,TX,48341,20654
2020,TX,48343,12393
2020,TX,48345,1185
2020,TX,48347,64753
2020,TX,48349,50694
2020,TX,48351,13414
2020,TX,48353,14835
2020,TX,48355,363148
2020,TX,48357,9598
2020,TX,48359,2135
2020,TX,48361,82878
2020,TX,48363,29320
2020,TX,48365,23187
2020,TX,48367,148198
2020,TX,48369,9522
2020,TX,48371,15718
2020,TX,48373,52995
2020,TX,48375,116004
2020,TX,48377,6508
2020,TX,48379,12552
2020,TX,48381,139899
2020,TX,48383,3833
2020,TX,48385,3411
2020,TX,48387,11995
2020,TX,48389,15949
2020,TX,48391,6877
2020,TX,48393,813
2020,TX,48395,17155
2020,TX,48397,109888
2020,TX,48399,10401
2020,TX,48401,54324
2020,TX,48403,10507
2020,TX,48405,8248
2020,TX,48407,29301
2020,TX,48409,67069
2020,TX,48411,6039
2020,TX,48413,2761
2020,TX,48415,16662
2020,TX,48417,3300
2020,TX,48419,24915
2020,TX,48421,3027
2020,TX,48423,235806
2020,TX,48425,9139
2020,TX,48427,64266
2020,TX,48429,9334
2020,TX,48431,1315
2020,TX,48433,1348
2020,TX,48435,3738
2020,TX,48437,7340
2020,TX,48439,2123347
2020,TX,48441,139200
2020,TX,48443,702
2020,TX,48445,12183
2020,TX,48447,1487
2020,TX,48449,32926
2020,TX,48451,120010
2020,TX,48453,1300503
2020,TX,48455,14883
2020,TX,48457,21591
2020,TX,48459,42166
2020,TX,48461,3623
2020,TX,48463,26742
2020,TX,48465,49028
2020,TX,48467,57533
2020,TX,48469,91936
2020,TX,48471,72164
2020,TX,48473,57452
2020,TX,48475,12097
2020,TX,48477,35771
2020,TX,48479,277681
2020,TX,48481,41685
2020,TX,48483,4946
2020,TX,48485,133205
2020,TX,48487,12552
2020,TX,48489,21161
2020,TX,48491,617855
2020,TX,48493,52023
2020,TX,48495,7887
2020,TX,48497,71084
2020,TX,48499,46291
2020,TX,48501,8702
2020,TX,48503,17904
2020,TX,48505,14172
2020,TX,48507,11840
2021,TX,48001,58402
2021,TX,48003,18440
2021,TX,48005,86506
2021,TX,48007,24510
2021,TX,48009,8681
2021,TX,48011,1839
2021,TX,48013,49939
2021,TX,48015,30380
2021,TX,48017,6835
2021,TX,48019,21565
2021,TX,48021,102058
2021,TX,48023,3477
2021,TX,48025,30924
2021,TX,48027,379617
2021,TX,48029,2028236
2021,TX,48031,11886
2021,TX,48033,617
2021,TX,48035,18503
2021,TX,48037,92581
2021,TX,48039,379689
2021,TX,48041,237032
2021,TX,48043,9450
2021,TX,48045,1403
2021,TX,48047,6994
2021,TX,48049,38192
2021,TX,48051,18051
2021,TX,48053,50954
2021,TX,48055,46791
2021,TX,48057,19727
2021,TX,48059,14115
2021,TX,48061,423029
2021,TX,48063,12616
2021,TX,48065,5746
2021,TX,48067,28560
2021,TX,48069,7374
2021,TX,48071,48865
2021,TX,48073,51097
2021,TX,48075,6736
2021,TX,48077,10263
2021,TX,48079,2516
2021,TX,48081,3321
2021,TX,48083,7735
2021,TX,48085,1109462
2021,TX,48087,2615
2021,TX,48089,20630
2021,TX,48091,174986
2021,TX,48093,13775
2021,TX,48095,3341
2021,TX,48097,42244
2021,TX,48099,84232
2021,TX,48101,1381
2021,TX,48103,4680
2021,TX,48105,3068
2021,TX,48107,5106
2021,TX,48109,2193
2021,TX,48111,7172
2021,TX,48113,2586050
2021,TX,48115,12413
2021,TX,48117,18329
2021,TX,48119,5392
2021,TX,48121,941647
2021,TX,48123,19918
2021,TX,48125,1740
2021,TX,48127,8473
2021,TX,48129,3268
2021,TX,48131,9756
2021,TX,48133,17864
2021,TX,48135,161091
2021,TX,48137,1438
2021,TX,48139,202678
2021,TX,48141,867947
2021,TX,48143,43378
2021,TX,48145,17313
2021,TX,48147,36569
2021,TX,48149,24687
2021,TX,48151,3706
2021,TX,48153,5350
2021,TX,48155,1080
2021,TX,48157,858527
2021,TX,48159,10464
2021,TX,48161,19774
2021,TX,48163,18436
2021,TX,48165,21895
2021,TX,48167,355062
2021,TX,48169,5863
2021,TX,48171,27297
2021,TX,48173,1149
2021,TX,48175,7163
2021,TX,48177,19641
2021,TX,48179,21030
2021,TX,48181,139336
2021,TX,48183,124201
