year,state,county,county_code,county_population,annual_adj_deaths,annual_crude_rate_10k
2021,OK,Beaver,40007,4980,30,60.24096385542169
2021,OK,Beckham,40009,22046,169,76.65789712419486
2021,OK,Blaine,40011,8562,94,109.78743284279373
2021,OK,Bryan,40013,47105,388,82.3691752467891
2021,OK,Caddo,40015,26368,249,94.43264563106796
2021,OK,Canadian,40017,161737,671,41.48710560972443
2021,OK,Carter,40019,48291,413,85.52318237352715
2021,OK,Cherokee,40021,47627,313,65.71902492283789
2021,OK,Choctaw,40023,14307,152,106.24169986719787
2021,OK,Cimarron,40025,2248,17,75.62277580071175
2021,OK,Cleveland,40027,297597,1187,39.886154766345086
2021,OK,Coal,40029,5276,52,98.55951478392721
2021,OK,Comanche,40031,122063,658,53.906589220320654
2021,OK,Cotton,40033,5480,54,98.54014598540145
2021,OK,Craig,40035,14115,124,87.84980517180306
2021,OK,Creek,40037,72029,475,65.94566077552098
2021,OK,Custer,40039,28163,183,64.97887298938323
2021,OK,Delaware,40041,41000,353,86.09756097560977
2021,OK,Dewey,40043,4417,50,113.19900384876613
2021,OK,Ellis,40045,3762,27,71.77033492822967
2021,OK,Garfield,40047,61926,452,72.99034331298647
2021,OK,Garvin,40049,25804,227,87.970857231437
2021,OK,Grady,40051,55508,339,61.0722778698566
2021,OK,Grant,40053,4131,36,87.14596949891069
2021,OK,Greer,40055,5487,59,107.52688172043011
2021,OK,Harmon,40057,2418,28,115.79818031430935
2021,OK,Harper,40059,3180,22,69.18238993710692
2021,OK,Haskell,40061,11602,98,84.46819513876918
2021,OK,Hughes,40063,13405,118,88.02685565087653
2021,OK,Jackson,40065,24777,178,71.84082011542964
2021,OK,Jefferson,40067,5438,54,99.30121368150056
2021,OK,Johnston,40069,10301,90,87.37015823706436
2021,OK,Kay,40071,43732,351,80.26159334126041
2021,OK,Kingfisher,40073,15204,100,65.77216521967904
2021,OK,Kiowa,40075,8410,86,102.25921521997621
2021,OK,Latimer,40077,9427,81,85.92341147767051
2021,OK,Le Flore,40079,48476,399,82.30877135077152
2021,OK,Lincoln,40081,33829,228,67.39779479145112
2021,OK,Logan,40083,50885,229,45.00343912744424
2021,OK,Love,40085,10216,83,81.2451057165231
2021,OK,McClain,40087,43516,228,52.394521555290005
2021,OK,McCurtain,40089,30884,279,90.33803911410439
2021,OK,McIntosh,40091,19245,209,108.59963626916081
2021,OK,Major,40093,7668,65,84.7678664580073
2021,OK,Marshall,40095,15594,136,87.21303065281518
2021,OK,Mayes,40097,39159,327,83.50570750019152
2021,OK,Murray,40099,13718,153,111.53229333722116
2021,OK,Muskogee,40101,66146,590,89.19662564629758
2021,OK,Noble,40103,10933,102,93.29552730266167
2021,OK,Nowata,40105,9303,85,91.36837579275503
2021,OK,Okfuskee,40107,11197,107,95.56131106546395
2021,OK,Oklahoma,40109,798575,4424,55.3986788967849
2021,OK,Okmulgee,40111,36843,335,90.92636321689331
2021,OK,Osage,40113,45772,284,62.04666608406887
2021,OK,Ottawa,40115,30340,310,102.17534607778511
2021,OK,Pawnee,40117,15741,143,90.84556254367574
2021,OK,Payne,40119,81989,381,46.469648367463925
