Notes,County,County Code,Month,Month Code,Weekday,Weekday Code,Deaths,Population,Crude Rate
,"Angelina County, TX",48005,"Jun., 2018",2018/06,Monday,2,17,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jun., 2018",2018/06,Tuesday,3,Suppressed,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jun., 2018",2018/06,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jun., 2018",2018/06,Thursday,5,10,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jun., 2018",2018/06,Friday,6,Suppressed,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jun., 2018",2018/06,Saturday,7,20,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jun., 2018",2018/06,Unknown,9,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2018",2018/07,Sunday,1,10,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2018",2018/07,Monday,2,19,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2018",2018/07,Tuesday,3,18,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2018",2018/07,Wednesday,4,11,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2018",2018/07,Thursday,5,11,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2018",2018/07,Friday,6,Suppressed,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2018",2018/07,Saturday,7,10,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2018",2018/07,Unknown,9,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2018",2018/08,Sunday,1,Suppressed,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2018",2018/08,Monday,2,10,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2018",2018/08,Tuesday,3,11,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2018",2018/08,Wednesday,4,18,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2018",2018/08,Thursday,5,14,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2018",2018/08,Friday,6,Suppressed,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2018",2018/08,Saturday,7,Suppressed,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2018",2018/08,Unknown,9,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Sep., 2018",2018/09,Sunday,1,12,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Sep., 2018",2018/09,Monday,2,Suppressed,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Sep., 2018",2018/09,Tuesday,3,Suppressed,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Sep., 2018",2018/09,Wednesday,4,10,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Sep., 2018",2018/09,Thursday,5,Suppressed,Not Applicable,Not Applicable
